id,date,title,category,account,amount,currency,type,is_recurring,interval,created_at,Unnamed: 8, 
a896f6d9-269d-4e3d-9a0e-465a1a38eaac,44:08.0,Strawberry,Food,Cash,20,MYR,EXPENSE,0,NULL,31/10/2025 9:44,NULL,NULL
c715d417-6939-41e0-b3fc-acbfd43842d2,19:45.1,Economic Rice,Food,Cash,11.5,MYR,EXPENSE,0,NULL,12/11/2025 17:19,NULL,NULL
74e78631-db14-4495-bfb9-85546b0bd2fe,26:15.0,Online Course,Education,Wallet,71.24,MYR,EXPENSE,0,NULL,26:15.0,NULL,NULL
65e12e62-9f63-4c6c-b452-6c7b42fbfb7f,46:51.0,Grab Ride,Transport,Credit Card,45.41,MYR,EXPENSE,0,NULL,46:51.0,NULL,NULL
9ecd93bd-a835-4263-86e2-99fea475fa37,19:20.0,Clinic Visit,Health,Salary Bank,22.28,MYR,EXPENSE,0,NULL,19:20.0,NULL,NULL
00d39b2c-e722-485a-85ca-28f6506dc674,08:22.0,Chicken Whole,Grocery,Credit Card,68.26,MYR,EXPENSE,0,NULL,08:22.0,NULL,NULL
3861d205-3245-4926-ad69-4491b0bff547,45:05.0,General Expense,Insurance,Cash,17.44,MYR,EXPENSE,0,NULL,45:05.0,NULL,NULL
d56409a4-8deb-4a73-84e7-dfcc630b90dd,18:42.0,Hotel Booking,Travel,Cash,27.65,MYR,EXPENSE,0,NULL,18:42.0,NULL,NULL
063983ae-2b62-4ba6-b53f-405af48101c2,54:24.0,Internet Bill,Bills,Credit Card,120,MYR,EXPENSE,1,monthly,54:24.0,NULL,NULL
593dec7f-97fe-4114-89ff-71c8c7591ef8,48:09.0,Children Supplies,Family,Wallet,18.71,MYR,EXPENSE,0,NULL,48:09.0,NULL,NULL
71621720-2c82-4a49-8474-ba22cc9a3c99,08:33.0,Phone Bill,Bills,Credit Card,75,MYR,EXPENSE,1,monthly,08:33.0,NULL,NULL
9d36ebc2-45e0-4dc2-8bf5-ec9cdb05925c,53:04.0,Children Supplies,Family,Cash,35.75,MYR,EXPENSE,0,NULL,53:04.0,NULL,NULL
dba89b5e-346d-439b-aa8b-19c42ea5a8ca,53:42.0,Misc Item,Other,Wallet,16.52,MYR,EXPENSE,0,NULL,53:42.0,NULL,NULL
3c916050-ffd6-45bd-a24c-6d5a9ffda846,53:28.0,Children Supplies,Family,Credit Card,49.59,MYR,EXPENSE,0,NULL,53:28.0,NULL,NULL
a474cddc-bbe2-4cfc-8fa8-8aa013b0260a,58:35.0,Gift Purchase,Family,Savings Bank,37.81,MYR,EXPENSE,0,NULL,58:35.0,NULL,NULL
00ee0c6b-7b05-4daa-9a55-0aa7b444be17,37:38.0,Online Course,Education,Salary Bank,18.44,MYR,EXPENSE,0,NULL,37:38.0,NULL,NULL
e58169a9-810b-4539-b94c-8d5f009697c2,07:05.0,General Expense,Insurance,Cash,41.74,MYR,EXPENSE,0,NULL,07:05.0,NULL,NULL
5f6d8272-22b5-4e0f-9890-21458f421a85,38:21.0,Karaoke,Entertainment,Cash,23.11,MYR,EXPENSE,0,NULL,38:21.0,NULL,NULL
81a3f436-7623-419e-8e87-2cbdd29a0476,09:44.0,Freelance Work,Other,Salary Bank,387.89,MYR,INCOME,0,NULL,09:44.0,NULL,NULL
eff51027-fd36-4e8b-858c-70bc173f17c2,11:51.0,Fuel Refill,Transport,Wallet,78.13,MYR,EXPENSE,0,NULL,11:51.0,NULL,NULL
bd394f07-67b4-44ec-8071-e7fbcf43c84d,11:28.0,Lunch,Food,Cash,78.05,MYR,EXPENSE,0,NULL,11:28.0,NULL,NULL
94568f6d-f1d2-43bb-bf34-d93c7f124262,26:03.0,General Expense,Insurance,Credit Card,8.8,MYR,EXPENSE,0,NULL,26:03.0,NULL,NULL
bda86294-0706-4b32-9a90-e3c4be9af40f,14:14.0,Breakfast,Food,Cash,29.37,MYR,EXPENSE,0,NULL,14:14.0,NULL,NULL
accdbb7a-7664-4e1a-9f7b-e29f1a2f8da1,31:14.0,Medicine,Health,Salary Bank,35.8,MYR,EXPENSE,0,NULL,31:14.0,NULL,NULL
ac0ee509-f503-42f4-99d2-f7ef107f464d,34:07.0,Milk 2L,Grocery,Wallet,31.94,MYR,EXPENSE,0,NULL,34:07.0,NULL,NULL
2375ce27-4d2b-4055-9322-1181bed3e6aa,44:10.0,Dinner,Food,Savings Bank,23.05,MYR,EXPENSE,0,NULL,44:10.0,NULL,NULL
9eab3dbc-4884-468a-bd27-6b183bfe1276,33:48.0,Gift Purchase,Family,Savings Bank,38.83,MYR,EXPENSE,0,NULL,33:48.0,NULL,NULL
67f1d176-7ff5-4345-9983-de5c73b1fb7f,54:48.0,Transport Ticket,Travel,Salary Bank,49.08,MYR,EXPENSE,0,NULL,54:48.0,NULL,NULL
ef205271-e09d-4662-b6ff-8ddb0c467121,35:56.0,Online Course,Education,Salary Bank,43.1,MYR,EXPENSE,0,NULL,35:56.0,NULL,NULL
3424ecfa-0a8b-4049-aa00-59777cd39690,54:32.0,Egg Dozen,Grocery,Credit Card,67.17,MYR,EXPENSE,0,NULL,54:32.0,NULL,NULL
cac698e7-c811-427d-9ed5-b0673fffc6ae,58:59.0,Misc Item,Other,Savings Bank,76.78,MYR,EXPENSE,0,NULL,58:59.0,NULL,NULL
1e4d5f78-89f0-484f-bc8b-5633b654465b,47:08.0,Shopping,Other,Savings Bank,62.68,MYR,EXPENSE,0,NULL,47:08.0,NULL,NULL
585baf2d-4c48-4241-a771-04d6d34a127d,31:13.0,Misc Item,Other,Wallet,31.88,MYR,EXPENSE,0,NULL,31:13.0,NULL,NULL
d948522f-8b58-4780-a36b-36212de2be24,56:34.0,General Expense,Insurance,Savings Bank,13.44,MYR,EXPENSE,0,NULL,56:34.0,NULL,NULL
4331ab35-e22f-4484-bfd9-78f03f31f54f,33:00.0,Egg Dozen,Grocery,Cash,64.73,MYR,EXPENSE,0,NULL,33:00.0,NULL,NULL
3cad8c57-2bc9-43a2-8b41-2e7fef80c559,56:15.0,Books,Education,Wallet,7.33,MYR,EXPENSE,0,NULL,56:15.0,NULL,NULL
a85b5ca6-e273-4889-912f-143d71087128,55:53.0,Water Bill,Bills,Salary Bank,33.17,MYR,EXPENSE,0,NULL,55:53.0,NULL,NULL
6202ac2c-5f86-4b8e-bec8-7570f00f7052,00:10.0,Vegetable Pack,Grocery,Cash,30.83,MYR,EXPENSE,0,NULL,00:10.0,NULL,NULL
778bf69f-8e6e-4f19-9eec-de8e87da0e86,45:39.0,Children Supplies,Family,Savings Bank,36.78,MYR,EXPENSE,0,NULL,45:39.0,NULL,NULL
b53e80d8-7726-4cc2-98b4-c241e10df863,24:49.0,General Expense,Insurance,Salary Bank,56.15,MYR,EXPENSE,0,NULL,24:49.0,NULL,NULL
6e502c80-ea65-4c14-ae52-229484f4785a,35:54.0,Books,Education,Credit Card,40.46,MYR,EXPENSE,0,NULL,35:54.0,NULL,NULL
25f7df22-f310-4dbf-80a8-ddc0ad9f0976,42:45.0,Game Top-Up,Entertainment,Cash,50.71,MYR,EXPENSE,0,NULL,42:45.0,NULL,NULL
49dcb2a0-d990-404e-bb8a-6b76eb8ac8fe,28:23.0,Dinner,Food,Wallet,8.21,MYR,EXPENSE,0,NULL,28:23.0,NULL,NULL
c903cc52-742e-4e85-8aa4-daabb68ca918,45:08.0,Children Supplies,Family,Salary Bank,79.3,MYR,EXPENSE,0,NULL,45:08.0,NULL,NULL
