Date,Category,Predicted_Spending
2025-11,Food,805.15
2025-12,Food,812.03
2025-11,Education,866.21
2025-12,Education,871.55
2025-11,Transport,673.79
2025-12,Transport,668.66
2025-11,Health,982.23
2025-12,Health,990.03
2025-11,Grocery,381.04
2025-12,Grocery,358.95
2025-11,Insurance,1040.16
2025-12,Insurance,1014.88
2025-11,Travel,693.74
2025-12,Travel,687.83
2025-11,Bills,1880.52
2025-12,Bills,1890.32
2025-11,Family,749.44
2025-12,Family,753.66
2025-11,Other,464.87
2025-12,Other,447.43
2025-11,Entertainment,1109.52
2025-12,Entertainment,1130.62
